,id,hotel_name,hotel_rating,amenities,address,country,price
0,1,Niagara Falls Marriott Fallsview Hotel & Spa,4,"Pool, Restaurant, Fitness Centre with Gym or Workout Room, Spa, Room service, BarorLounge, Banquet Room, Breakfast Available, Business Centre with Internet Access, Concierge, Conference Facilities, Dry Cleaning, Heated pool, Hot ",6740 Fallsview Blvd Niagara Falls Ontario,Canada,118
1,2,Fairmont Royal York,4.5,"Restaurant, Room service, Fitness Centre with Gym or Workout Room, BarorLounge, Pool, Free Internet, Spa, Airport transportation, Banquet Room, Breakfast Available, Business Centre with Internet Access, Concierge, Conference Facili",100 Front Street W Toronto Ontario,Canada,489
2,3,Blue Horizon Hotel,4.5,"Pool, Restaurant, Free High Speed Internet (WiFi), Fitness Centre with Gym or Workout Room, BarorLounge, Banquet Room, Breakfast Available, Business Centre with Internet Access, Concierge, Conference Facilities, Dry Cleaning, Heated ",1225 Robson St Vancouver British Columbia,Canada,169
3,4,Fairmont Le Chateau Frontenac,4.5,"Restaurant, Fitness Centre with Gym or Workout Room, Room service, BarorLounge, Pool, Free Internet, Spa, Babysitting, Banquet Room, Breakfast Available, Business Centre with Internet Access, Children Activities (Kid or Family Friendl",1 Rue des Carrieres Quebec City Quebec,Canada,212
4,5,Rimrock Resort Hotel,4.5,"Pool, Room service, Fitness Centre with Gym or Workout Room, Restaurant, BarorLounge, Spa, Free High Speed Internet (WiFi), Babysitting, Banquet Room, Breakfast Available, Business Centre with Internet Access, Concierge, Conference",300 Mountain Avenue Alberta,Canada,189
5,6,Niagara Falls Marriott on the Falls,4,"Pool, Restaurant, Fitness Centre with Gym or Workout Room, Room service, BarorLounge, Breakfast Available, Concierge, Conference Facilities, Dry Cleaning, Heated pool, Hot Tub, Indoor pool, Laundry Service, Meeting rooms, Multi",6755 Fallsview Boulevard Niagara Falls Ontario,Canada,116.5294118
6,7,The Burrard,4,"Free High Speed Internet (WiFi), Laundry Service, Multilingual Staff, Non-smoking hotel, Pets Allowed ( Dog or Pet Friendly ), Air conditioning, Refrigerator in room, Non-smoking rooms",1100 Burrard St Vancouver British Columbia,Canada,123
7,8,One King West Hotel & Residence,4.5,"Restaurant, Fitness Centre with Gym or Workout Room, Room service, BarorLounge, Free High Speed Internet (WiFi), Banquet Room, Business Centre with Internet Access, Concierge, Conference Facilities, Dry Cleaning, Laundry Service, Mee",1 King Street West Toronto Ontario,Canada,116.5294118
8,9,Le Square Phillips Hotel & Suites,4.5,"Pool, Free High Speed Internet (WiFi), Fitness Centre with Gym or Workout Room, Room service, Restaurant, Breakfast included, Banquet Room, Business Centre with Internet Access, Concierge, Conference Facilities, Dry Cleaning, Heated",1193 Place Phillips Montreal Quebec,Canada,116.5294118
9,10,Banff Park Lodge Resort and Conference Centre,4,"Pool, Restaurant, Room service, Fitness Centre with Gym or Workout Room, BarorLounge, Banquet Room, Breakfast Available, Business Centre with Internet Access, Concierge, Conference Facilities, Dry Cleaning, Electric vehicle charging ",222 Lynx Street Alberta,Canada,116.5294118
10,11,Best Western Plus Waterfront Hotel,4,"Fitness Centre with Gym or Workout Room, Free High Speed Internet (WiFi), BarorLounge, Pool, Breakfast included, Banquet Room, Business Centre with Internet Access, Conference Facilities, Dry Cleaning, Heated pool, Indoor pool, Laund",277 Riverside Dr W Windsor Ontario,Canada,116
11,12,"Country Inn & Suites by Radisson, Niagara Falls, ON",4.5,"Free High Speed Internet (WiFi), Breakfast included, Pool, Fitness Centre with Gym or Workout Room, Business Centre with Internet Access, Heated pool, Hot Tub, Indoor pool, Laundry Service, Meeting rooms, Non-smoking hotel, Self-Ser",5525 Victoria Avenue Niagara Falls Ontario,Canada,116.5294118
12,13,Best Western Plus Chateau Granville,4,"Room service, Free High Speed Internet (WiFi), BarorLounge, Restaurant, Fitness Centre with Gym or Workout Room, Banquet Room, Breakfast Available, Business Centre with Internet Access, Concierge, Conference Facilities, Dry Cleaning, ",1100 Granville St Vancouver British Columbia,Canada,157
13,14,"The Westin Trillium House, Blue Mountain",4,"Pool, Restaurant, Room service, Fitness Centre with Gym or Workout Room, BarorLounge, Spa, Banquet Room, Business Centre with Internet Access, Children Activities (Kid or Family Friendly), Concierge, Conference Facilities, Dry Cleanin",220 Gord Canning Drive Blue Mountains Ontario,Canada,151
14,15,Hotel Le Dauphin Montreal Centre-Ville,4.5,"Free High Speed Internet (WiFi), Breakfast included, Fitness Centre with Gym or Workout Room, Business Centre with Internet Access, Dry Cleaning, Laundry Service, Meeting rooms, Multilingual Staff, Non-smoking hotel, Air conditioning, ",1025 de Bleury Street Montreal Quebec,Canada,126
15,16,Chateau Victoria Hotel and Suites,4.5,"Pool, Fitness Centre with Gym or Workout Room, Room service, Restaurant, Free High Speed Internet (WiFi), BarorLounge, Banquet Room, Business Centre with Internet Access, Concierge, Conference Facilities, Dry Cleaning, Heated pool, ",Chateau Victoria 740 Burdett Ave Victoria British Columbia,Canada,116.5294118
16,17,L'Hermitage Hotel,5,"Pool, Fitness Centre with Gym or Workout Room, Free High Speed Internet (WiFi), BarorLounge, Room service, Business Centre with Internet Access, Concierge, Conference Facilities, Dry Cleaning, Heated pool, Hot Tub, Laundry Service, ",788 Richards Street Vancouver British Columbia,Canada,265
17,18,Hotel Grand Pacific,4.5,"Pool, Restaurant, Fitness Centre with Gym or Workout Room, Room service, BarorLounge, Free High Speed Internet (WiFi), Banquet Room, Breakfast Available, Business Centre with Internet Access, Concierge, Conference Facilities, Dry Cle",463 Belleville Street Victoria British Columbia,Canada,249
18,19,Lord Elgin,4.5,"Restaurant, Pool, Fitness Centre with Gym or Workout Room, Room service, Free High Speed Internet (WiFi), BarorLounge, Banquet Room, Business Centre with Internet Access, Concierge, Conference Facilities, Dry Cleaning, Heated pool, ",100 Elgin St Ottawa Ontario,Canada,116.5294118
19,20,Le Saint-Sulpice,4.5,"Restaurant, Room service, Free High Speed Internet (WiFi), BarorLounge, Banquet Room, Business Centre with Internet Access, Concierge, Conference Facilities, Dry Cleaning, Laundry Service, Meeting rooms, Multilingual Staff, Non-sm",414 Saint-Sulpice Montreal Quebec,Canada,190
20,21,Moose Hotel and Suites,4.5,"Pool, Room service, Free parking, Restaurant, BarorLounge, Spa, Free High Speed Internet (WiFi), Fitness Centre with Gym or Workout Room, Breakfast Available, Business Centre with Internet Access, Dry Cleaning, Heated pool, Hot Tub",345 Banff Avenue Alberta,Canada,116.5294118
21,22,Pan Pacific Vancouver,4.5,"Pool, Restaurant, Room service, Fitness Centre with Gym or Workout Room, BarorLounge, Spa, Free Internet, Banquet Room, Breakfast Available, Business Centre with Internet Access, Concierge, Conference Facilities, Dry Cleaning, He",300-999 Canada Place Way Vancouver British Columbia,Canada,116.5294118
22,23,Coast Coal Harbour Vancouver Hotel by APA,4.5,"Pool, Restaurant, Free High Speed Internet (WiFi), Fitness Centre with Gym or Workout Room, Room service, BarorLounge, Banquet Room, Breakfast Available, Business Centre with Internet Access, Concierge, Conference Facilities, Dry Cle",1180 West Hastings Street Vancouver British Columbia,Canada,183
23,24,Fairmont Chateau Lake Louise,4.5,"Restaurant, Fitness Centre with Gym or Workout Room, Room service, BarorLounge, Spa, Pool, Free Internet, Babysitting, Banquet Room, Breakfast Available, Business Centre with Internet Access, Children Activities (Kid or Family Friendl",111 Lake Louise Drive Alberta,Canada,116.5294118
24,25,Delta Hotels by Marriott Toronto,4.5,"Free High Speed Internet (WiFi), Pool, Room service, Restaurant, BarorLounge, Fitness Centre with Gym or Workout Room, Breakfast Available, Concierge, Conference Facilities, Dry Cleaning, Heated pool, Hot Tub, Indoor pool, Laundr",75 Lower Simcoe Street Toronto Ontario,Canada,116.5294118
25,26,Acclaim Hotel Calgary Airport,4.5,"Free parking, Free High Speed Internet (WiFi), Restaurant, Fitness Centre with Gym or Workout Room, BarorLounge, Airport transportation, Banquet Room, Business Centre with Internet Access, Conference Facilities, Dry Cleaning, Hot Tub,",123 Freeport Blvd NE Calgary Alberta,Canada,116.5294118
26,27,Hotel Le Priori,4.5,"Free High Speed Internet (WiFi), Breakfast included, Babysitting, Concierge, Dry Cleaning, Laundry Service, Multilingual Staff, Non-smoking hotel, Air conditioning, Non-smoking rooms, Suites",15 rue Sault-au-Matelot Quebec City Quebec,Canada,159
27,28,Mount Robson Inn,4,"Free High Speed Internet (WiFi), Free parking, Breakfast included, Hot Tub, Laundry Service, Multilingual Staff, Non-smoking hotel, Public Wifi, Self-Serve Laundry, Air conditioning, Microwave, Refrigerator in room, Non-smoking r",902 Connaught Dr (Main Street) Alberta,Canada,139
28,29,Crimson Jasper,4,"Free High Speed Internet (WiFi), Restaurant, Pool, Free parking, BarorLounge, Fitness Centre with Gym or Workout Room, Banquet Room, Business Centre with Internet Access, Heated pool, Hot Tub, Indoor pool, Laundry Service, Non-smok",200 Connaught Dr Alberta,Canada,116.5294118
29,30,Bear Hill Lodge,4,"Free parking, Free High Speed Internet (WiFi), Hot Tub, Non-smoking hotel, Pets Allowed ( Dog or Pet Friendly ), Sauna, Wheelchair Access, Microwave, Refrigerator in room, Kitchenette, Non-smoking rooms",100 Bonhomme Road Alberta,Canada,117
