id,name,address,city,postal_code,stars,review_count,is_open,categories
1,"""Maxim Bakery & Restaurant""","""9665 Bayview Avenue, Unit 1-4""",Richmond Hill,L4C 9V4,3.5,34,1,French;Food;Bakeries;Restaurants
2,"""Bampot House of Tea & Board Games""","""201 Harbord Street""",Toronto,M5S 1H6,4,55,1,Coffee & Tea;Restaurants;Food;Mediterranean;Tea Rooms
3,"""Yuzu""","""13603 Madison Ave""",Lakewood,44107,3.5,78,1,Nightlife;Izakaya;Comfort Food;Cocktail Bars;Asian Fusion;Bars;Japanese;Restaurants;Gastropubs;Tapas/Small Plates
4,"""McDonald's""","""719 E Thunderbird Rd""",Phoenix,85022,1,10,1,Fast Food;Burgers;Restaurants
5,"""Subway""","""6889 S Eastern Ave, Ste 101""",Las Vegas,89119,2.5,6,1,Fast Food;Restaurants;Sandwiches
6,"""McDonald's""","""1635 E Camelback Rd""",Phoenix,85016,3,34,1,Restaurants;Burgers;Fast Food
7,"""Crazy Mocha Coffee""","""4032 Butler St""",Pittsburgh,15201,3.5,16,1,Restaurants;Sandwiches;Coffee & Tea;Food
8,"""Bruegger's Bagels""","""5217 Clairton Blvd""",Pittsburgh,15236,2.5,5,1,Breakfast & Brunch;Bagels;Restaurants;Bakeries;Sandwiches;Food
9,"""Thai Express""","""4700 Keele Street""",Toronto,M3J 1P3,3,5,1,Imported Food;Specialty Food;Thai;Ethnic Food;Food;Restaurants
10,"""Flavor Cuisine""","""8 Glen Watford Drive""",Toronto,M1S 2C1,3,6,1,Restaurants;Chinese;Food Court
11,"""Tandoori Times Indian Bistro""","""8140 N Hayden Rd, Ste H115""",Scottsdale,85258,3.5,263,1,Restaurants;Gluten-Free;Indian;Seafood
12,"""Finga Lickin' Caribbean Eatery""","""2838 The Plz""",Charlotte,28205,4.5,21,1,Pizza;Food;Internet Cafes;Restaurants;Caribbean
13,"""Red Lobster""","""2810 North 75th Ave""",Phoenix,85035,2.5,37,1,American (Traditional);Restaurants;Seafood
14,"""Amaya Express""","""Eaton Centre, 220 Yonge St""",Toronto,M5B 2L7,2.5,34,1,Indian;Restaurants;Fast Food
15,"""Pizza Pizza""","""7665 Kennedy Road""",Markham,L3R 0L7,4,8,1,Italian;Chicken Wings;Fast Food;Restaurants;Pizza
16,"""Barrio""","""2466 Fairmount Blvd""",Cleveland Heights,44106,3.5,97,1,Food;Restaurants;Tacos;Food Trucks;Mexican
17,"""McDonald's""","""3020 E Desert Inn Rd""",Las Vegas,89121,2,20,1,Restaurants;Fast Food;Burgers
18,"""Duck Donuts""","""1710 Kenilworth Ave, Ste 220""",Charlotte,28203,4.5,373,1,Breakfast & Brunch;Food;Coffee & Tea;Donuts;Restaurants
19,"""Firehouse Subs""","""3420 E Baseline Rd, Ste 101""",Mesa,85204,3.5,82,1,Food;Delis;Fast Food;Sandwiches;Restaurants
20,"""QDC Burger""","""975 Boulevard Roméo-Vachon Nord""",Dorval,H4Y 1H1,3,11,1,Burgers;Fast Food;Restaurants
21,"""Mint Garden""","""17830 Leslie Street""",Newmarket,L3Y,3.5,11,1,Restaurants;Food;Vietnamese
22,"""Subway""","""5111 Boulder Hwy""",Las Vegas,89122,3,3,1,Sandwiches;Restaurants;Fast Food
23,"""Restaurant Plenum""","""Konrad-Adenauer-Str. 3""",Stuttgart,70173,3.5,15,1,Restaurants;Coffee & Tea;Cafes;German;Food
24,"""La P'tite Cabane d'la Côte""","""5885 Route Arthur-Sauvé""",Mirabel,J7N 2W4,3.5,6,1,Food;Local Flavor;Canadian (New);Sugar Shacks;Restaurants;American (Traditional)
25,"""Taco Bell""","""4110 Lee Road""",Cleveland,44128,2,5,1,Mexican;Tex-Mex;Restaurants;Fast Food
26,"""Papa John's Pizza""","""3441 W Northern Ave""",Phoenix,85051,2.5,7,1,Pizza;Restaurants;Fast Food
27,"""Taco Bell""","""2453 HWY 160""",Tega Cay,29708,4,13,1,Tex-Mex;Mexican;Restaurants;Fast Food
28,"""Pablo's Grill It Up""","""300 Borough Drive""",Scarborough,M1P 4P5,4,5,1,Food Court;Restaurants;Barbeque
29,"""KFC""","""25467 Detroit Avenue""",Westlake,44145,2,9,1,Chicken Wings;Restaurants;Fast Food
30,"""Manchu Wok""","""3035 Boulevard Le carrefour""",Laval,H7T 1C8,3,3,1,Fast Food;Restaurants;Chinese
31,"""Steak 'n Shake""","""2656 E Franklin Blvd""",Gastonia,28056,2.5,28,1,Fast Food;Restaurants;Burgers;Breakfast & Brunch;American (New)
32,"""Trattoria Italia""","""9905 S Eastern Ave, Ste 140""",Las Vegas,89183,4.5,210,1,Seafood;Italian;Pizza;Restaurants
33,"""Truscott Italian Bakery & Delicatessen""","""2425 Truscott Dr""",Mississauga,L5J 2B4,4,22,1,Food;Delis;Bakeries;Restaurants
34,"""Beer Emporium""","""302 S Saint Clair St""",Pittsburgh,15206,3.5,169,1,Beer;Wine & Spirits;American (New);Restaurants;Nightlife;Food;Bars;Belgian;Sandwiches;Pubs
35,"""Restaurant Speisemeisterei""","""Schloß Hohenheim 1""",Stuttgart,70599,4.5,40,1,German;International;Food;Restaurants;French;Specialty Food;Modern European
36,"""Del Taco""","""1483 N Dysart Rd""",Avondale,85323,2.5,23,1,Restaurants;Fast Food;Mexican
37,"""Arby's""","""17032 N 99th Ave""",Sun City,85373,3.5,9,1,American (Traditional);Restaurants;Sandwiches;Steakhouses;American (New);Fast Food
38,"""McDonald's""","""6025 Chemin de la Côte-des-Neiges""",Montréal,H3S 1Z9,4,4,1,Fast Food;Restaurants;Burgers
39,"""Global Deli""","""13 George IV Bridge, Old Town""",Edinburgh,EH1 1EE,4,13,1,Restaurants;Food;Sandwiches;Coffee & Tea;Delis
40,"""AZ Pho & Grill""","""3140 S Gilbert Rd, Ste 1""",Chandler,85286,4,249,1,Bubble Tea;Restaurants;Food;Vietnamese
41,"""Taco Bell""","""15240 N. 32nd Street""",Phoenix,85032,2,18,1,Tex-Mex;Fast Food;Restaurants;Mexican
42,"""Popeyes Louisiana Kitchen""","""589 Yonge Street""",Toronto,M4Y 1Z4,2.5,17,1,Chicken Wings;Fast Food;Restaurants
43,"""Fleming's Prime Steakhouse-Scottsdale""","""20753 N Pima Rd""",Scottsdale,85255,3.5,190,1,Nightlife;Restaurants;Steakhouses;Wine Bars;Bars;Seafood
44,"""Popeyes Louisiana Kitchen""","""3420 William Penn Hwy""",Pittsburgh,15235,2,18,1,Fast Food;Chicken Wings;Southern;Restaurants
45,"""The Bass Cafe Grill & Terrace""","""900 Karen Ave""",Las Vegas,89109,2.5,3,1,Restaurants;American (Traditional);Food;Coffee & Tea;Salad;Breakfast & Brunch
46,"""DQ Grill & Chill Restaurant""","""325 Central Parkway W""",Mississauga,L5B 3X9,2.5,6,1,Fast Food;Restaurants;Ice Cream & Frozen Yogurt;Food
47,"""Usmania Grill""","""1211 Kingston Road, Unit 9""",Pickering,L1V 6M5,3,8,1,Pakistani;Restaurants;Indian;Seafood;Halal
48,"""Presse Café""","""800 St Catherine E""",Montréal,H2L 2E3,2.5,10,1,Sandwiches;Food;Restaurants;Coffee & Tea;Breakfast & Brunch
49,"""Galleria Supermarket""","""865 York Mills Road""",Toronto,M3B 1Y6,4,92,1,Grocery;International Grocery;Food;Korean;Ethical Grocery;Restaurants
50,"""Hingetown""","""""",Cleveland,44113,3,4,1,Shopping;Flowers & Gifts;Arts & Entertainment;Cafes;Coffee & Tea;Restaurants;Local Flavor;Museums;Shopping Centers;Art Galleries;Florists;Food
51,"""J-Town By The Sea""","""J-Town Shopping Center, 3160 Steeles Avenue E, Unit 6 & 7""",Markham,L3R 4G9,3.5,34,1,Specialty Food;Seafood Markets;Sushi Bars;Food;Restaurants;Seafood;Japanese
52,"""Coffee Culture""","""10037 Keele Street""",Vaughan,L6A 3Y8,3.5,29,1,Breakfast & Brunch;Coffee & Tea;Restaurants;Food
53,"""Pun Cao Tong""","""550 Highway 7 E""",Richmond Hill,L4B 3Z4,3.5,39,1,Desserts;Food;Restaurants;Specialty Food;Chinese
54,"""Subway""","""10909 Yonge Street, Unit 49""",Richmond Hill,L4C 3E3,3,5,1,Sandwiches;Fast Food;Restaurants
55,"""Steak 'n Shake""","""597 E Aurora Rd""",Macedonia,44056,1.5,42,1,Burgers;Fast Food;American (New);American (Traditional);Breakfast & Brunch;Restaurants;Diners
56,"""Panda Express""","""3355 Las Vegas Blvd S""",Las Vegas,89109,2.5,61,1,Restaurants;Fast Food;Chinese
57,"""Christy Candy Shop""","""3542 S Maryland Pkwy""",Las Vegas,89169,3,4,1,Food;Restaurants;Specialty Food;Mexican;Candy Stores;Ice Cream & Frozen Yogurt
58,"""Choice Of The Orient""","""9555 Yonge Street""",Richmond Hill,L4C 9M5,3.5,11,1,Restaurants;Ethnic Food;Food;Chinese;Specialty Food
59,"""Donut Counter""","""3337 Avenue Bayview""",North York,M2K 1G4,4,5,1,Coffee & Tea;Restaurants;Bagels;Sandwiches;Food;Donuts
60,"""Hardee's""","""4280 Highway 49 S""",Harrisburg,28075,2.5,7,1,Restaurants;Fast Food
61,"""The Fish Store & Sandwiches""","""657 College Street""",Toronto,M6G 1B7,4,138,1,Restaurants;Seafood;Sandwiches
